名前,所属,性別,カテゴリー,800mSB,1500mSB,3000mSB,5000mSB,3kmSB,5kmSB,10kmSB,800mSB参考,1500mSB参考,3000mSB参考,5000mSB参考,3kmSB参考,5kmSB参考,10kmSB参考
川元奨,スズキ静  岡,男子,一般,1:50.66,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
佐藤主理,スマイスセレゾン大　分,男子,一般,1:55.92,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
北村魁士,山梨学院大千　葉,男子,一般,1:56.36,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
飛田駿星,大阪国際大京　都,男子,一般,,3:49.09,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
田中悠大,洛南高京　都,男子,高校生,,3:49.46,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
國森郁光,山口大鳥　取,男子,一般,,3:51.13,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
香山寛人,筑波大東　京,男子,一般,,3:51.43,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
三千田雅治,関西学院大兵　庫,男子,一般,,3:51.57,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
永田秀悟,OBRS京　都,男子,一般,,3:52.73,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
大竹康平,レデイ薬局愛　媛,男子,一般,,3:53.01,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
益永聖司,熊本大熊　本,男子,一般,,3:53.17,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
美馬伊吹,環太平洋大石  川,男子,一般,,3:53.86,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
岩野史弥,関西大大　阪,男子,一般,,3:54.90,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
十川裕二,オムロン太陽大　分,男子,一般,,3:55.07,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
小松幹汰,環太平洋大東　京,男子,一般,,3:56.62,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
平岡錬,レデイ薬局愛　媛,男子,一般,,4:00.52,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
西脇駿,関西大兵　庫,男子,一般,,4:01.12,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
赤井大樹,ワークマン奈　良,男子,一般,,4:01.82,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
鮎川翔,IHD愛  知,男子,一般,,4:01.83,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
竹石優,環太平洋大新  潟,男子,一般,,4:06.21,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
大川内健太,サムコ佐　賀,男子,一般,,4:19.58,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel028.html",,,,,
井口愁斗,東京国際大長　崎,男子,一般,,3:47.40,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
片桐貫太,ＭＯＲＥ神奈川,男子,一般,,3:49.88,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
梅原悠良,東京農業大長  野,男子,一般,,3:49.96,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
加藤元晴,拓殖大学熊　本,男子,一般,,3:49.98,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
池田蓮,神奈川大静  岡,男子,一般,,3:50.16,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
吉田健太郎,大阪教育大大　阪,男子,一般,,3:50.26,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
東純大,鹿屋体育大愛  知,男子,一般,,3:50.27,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
��嶋荘太,環太平洋大愛  知,男子,一般,,3:50.88,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
小川晴也,広島経済大兵　庫,男子,一般,,3:50.89,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
岡�大河,濃飛倉庫運輸岐  阜,男子,一般,,3:51.59,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
名和将晃,三重大三  重,男子,一般,,3:51.98,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
吉崎舜,池田AC大　阪,男子,一般,,3:52.09,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
吉田僚,環太平洋大山　口,男子,一般,,3:52.21,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
嶋田匠海,関西大大　阪,男子,一般,,3:52.47,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
大島大青,Victoire長　崎,男子,一般,,3:52.50,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
戸田夏輝,NDソフト山　形,男子,一般,,3:53.21,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
居田優太,大阪ガス大　阪,男子,一般,,3:55.50,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
中島一翠,関東学院大神奈川,男子,一般,,3:55.64,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
高坂光希,札幌学院大青　森,男子,一般,,3:58.46,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
小南翔,大阪大大　阪,男子,一般,,4:05.37,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel029.html",,,,,
立迫大徳,早稲田大鹿児島,男子,一般,,3:42.76,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
新海弘一朗,関西学院大兵　庫,男子,一般,,3:46.39,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
野川元希,明治大愛  知,男子,一般,,3:47.20,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
森玉鳳雅,関西大兵　庫,男子,一般,,3:48.55,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
井上大輝,大阪ガス大　阪,男子,一般,,3:48.72,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
大門晃士,早稲田大奈　良,男子,一般,,3:48.75,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
山田俊輝,スズキ静  岡,男子,一般,,3:49.29,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
水野颯也,立命館大愛  知,男子,一般,,3:49.75,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
久山大祐,関西学院大兵　庫,男子,一般,,3:49.76,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
原田凌輔,NTTビジネス東　京,男子,一般,,3:50.44,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
西塚璃純,札幌学院大青　森,男子,一般,,3:50.95,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
一宮颯斗,愛媛銀行愛　媛,男子,一般,,3:51.89,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
八鍬拓斗,山梨学院大山　形,男子,一般,,3:53.87,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
濱口直人,黒崎播磨神奈川,男子,一般,,3:53.92,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
金尾凌太,愛知工業大三  重,男子,一般,,3:54.73,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
藪田虎志朗,立命館大愛  知,男子,一般,,3:55.14,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
西園悠人,大阪公立大大　阪,男子,一般,,3:56.94,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
外間勇太,友睦物流沖　縄,男子,一般,,3:58.26,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
嘉良戸翔太,関西学院大京　都,男子,一般,,4:09.04,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel030.html",,,,,
森田佳祐,SUBARU群　馬,男子,一般,,3:38.35,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
前田陽向,環太平洋大大　阪,男子,一般,,3:38.61,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
高橋佑輔,山陽特殊製鋼北海道,男子,一般,,3:39.52,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
河村一輝,トーエネック愛  知,男子,一般,,3:39.70,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
大野聖登,順天堂大秋　田,男子,一般,,3:39.95,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
青木龍翔,立教大福　岡,男子,一般,,3:40.39,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
金子魅玖人,ARCYELL東　京,男子,一般,,3:40.72,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
才記壮人,富士山の銘水山  梨,男子,一般,,3:40.97,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
鈴木景仁,富士山の銘水山  梨,男子,一般,,3:41.72,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
千守倫央,大塚製薬徳  島,男子,一般,,3:42.07,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
森谷公亮,Resistance.Sol奈　良,男子,一般,,3:43.64,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
片山直人,山陽特殊製鋼兵　庫,男子,一般,,3:43.67,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
�蝟{匡哉,愛三工業愛  知,男子,一般,,3:43.76,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
落合晃,駒澤大滋　賀,男子,一般,,3:44.18,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
青木丈侑,三重陸協三  重,男子,一般,,3:48.40,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
寺田向希,中央大東　京,男子,中学生,,3:50.00,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel031.html",,,,,
綱島辰弥,YKK富  山,男子,一般,,,,13:34.42,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
渡邉奏太,サンベルクス東　京,男子,一般,,,,13:39.81,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
小嶋郁依斗,マツダ滋　賀,男子,一般,,,,13:41.59,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
牧瀬圭斗,トヨタ自動車九州福　岡,男子,一般,,,,13:49.05,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
山中達貴,城西大兵　庫,男子,一般,,,,13:51.58,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
花尾恭輔,トヨタ自動車九州福　岡,男子,一般,,,,13:52.77,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
平駿介,九電工福　岡,男子,一般,,,,13:58.92,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
福谷颯太,黒崎播磨福　岡,男子,一般,,,,13:59.47,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
馬場祐輔,小森コーポ茨　城,男子,一般,,,,13:59.64,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
中島大就,中国電力広　島,男子,中学生,,,,14:01.58,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
佐藤我駆人,駿河台大奈　良,男子,一般,,,,14:04.60,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
宮木快盛,大塚製薬徳  島,男子,一般,,,,14:05.61,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
松並昂勢,黒崎播磨福　岡,男子,一般,,,,14:07.58,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
西久保遼,九電工福　岡,男子,一般,,,,14:08.94,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
川田裕也,SUBARU群　馬,男子,一般,,,,14:17.29,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
古橋希翁,駿河台大東　京,男子,一般,,,,14:26.59,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel034.html",,,
漆畑瑠人,安川電機福　岡,男子,一般,,,,13:36.10,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
久保田徹,Honda東　京,男子,一般,,,,13:40.71,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
吉岡大翔,順天堂大長  野,男子,一般,,,,13:41.20,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
梶谷瑠哉,SUBARU群　馬,男子,一般,,,,13:44.19,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
大城義己,トヨタ自動車九州福　岡,男子,一般,,,,13:48.03,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
赤津勇進,小森コーポ茨　城,男子,一般,,,,13:48.15,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
市村朋樹,サンベルクス東　京,男子,一般,,,,13:50.96,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
中山雄太,JR東日本東　京,男子,一般,,,,13:55.01,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
田中秀幸,トヨタ自動車愛  知,男子,一般,,,,13:57.87,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
冨田直樹,中央発條(株)愛  知,男子,中学生,,,,14:09.65,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
古賀淳紫,安川電機福　岡,男子,一般,,,,14:14.76,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
富永椋太,小森コーポ茨　城,男子,一般,,,,14:17.60,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
清水颯大,大塚製薬徳  島,男子,一般,,,,14:29.72,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
大塚倭,NTT西日本大　阪,男子,一般,,,,14:52.00,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel035.html",,,
森凪也,Honda東　京,男子,一般,,,,13:15.07,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
佐藤圭汰,駒澤大京　都,男子,一般,,,,13:16.29,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
鶴川正也,GMOインターネットGrp熊　本,男子,一般,,,,13:17.64,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
篠原倖太朗,富士通千　葉,男子,一般,,,,13:25.30,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
伊藤大志,NTT西日本長  野,男子,一般,,,,13:25.65,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
西川雄一朗,住友電工兵　庫,男子,一般,,,,13:31.98,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
吉田圭太,GMOインターネットGrp東　京,男子,一般,,,,13:33.26,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
上野裕一郎,ひらまつ病院佐　賀,男子,一般,,,,13:33.55,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
田澤廉,トヨタ自動車愛  知,男子,一般,,,,13:34.12,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
川瀬翔矢,NTN東　京,男子,一般,,,,13:34.53,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
溜池一太,中央大滋　賀,男子,中学生,,,,13:35.33,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
川田啓仁,埼玉医科大学G埼　玉,男子,一般,,,,13:37.12,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
岡田開成,中央大大　阪,男子,中学生,,,,13:38.37,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
小池莉希,創価大長  野,男子,一般,,,,13:39.14,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
大島史也,法政大千　葉,男子,一般,,,,13:44.43,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
亀田仁一路,旭化成宮　崎,男子,一般,,,,13:46.05,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
嶋津雄大,GMOインターネットGrp東　京,男子,一般,,,,13:47.33,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
中野翔太,Honda東　京,男子,一般,,,,13:55.10,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
漆畑徳輝,トーエネック愛  知,男子,一般,,,,13:55.62,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
井川龍人,旭化成宮　崎,男子,一般,,,,13:57.26,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
松崎咲人,NTT西日本大　阪,男子,一般,,,,14:05.48,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
�M口大和,中央大長  野,男子,中学生,,,,14:07.88,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
米井翔也,JR東日本東　京,男子,一般,,,,14:13.06,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
砂岡拓磨,住友電工兵　庫,男子,一般,,,,14:35.23,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
山内健登,九電工福　岡,男子,一般,,,,14:36.87,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel036.html",,,
中村美宇,機電エンジニアリング福　島,女子,一般,2:08.20,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
森千莉,至学館大愛  知,女子,一般,2:08.74,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
北村優衣,福岡大長　崎,女子,一般,2:09.68,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
朝野流南,東大阪大敬愛高大　阪,女子,高校生,2:11.67,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
長島結衣,順天堂大栃　木,女子,一般,2:12.11,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
野村いちご,順天堂大福  井,女子,一般,2:12.58,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
原華澄,ディープジャパン和歌山,女子,一般,2:12.59,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
川田美沙希,東大阪大大　阪,女子,一般,2:13.11,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel020.html",,,,,,
久保凛,東大阪大敬愛高大　阪,女子,高校生,2:02.58,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel021.html",,,,,,
塩見綾乃,岩谷産業大　阪,女子,一般,2:04.75,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel021.html",,,,,,
渡辺愛,ユニクロ大　阪,女子,一般,2:05.17,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel021.html",,,,,,
川田朱夏,ニコニコのり大　阪,女子,一般,2:06.41,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel021.html",,,,,,
勝くるみ,筑波大東　京,女子,一般,2:09.25,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel021.html",,,,,,
渡部鈴夏,岩谷産業大　阪,女子,一般,2:12.29,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel021.html",,,,,,
大川菜々美,和歌山北高和歌山,女子,高校生,,4:22.75,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
田島愛理,順天堂大静  岡,女子,一般,,4:22.81,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
正司瑠奈,環太平洋大岡　山,女子,一般,,4:23.09,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
柳樂あずみ,名城大富  山,女子,一般,,4:24.00,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
中後心晴,第一生命グループ東　京,女子,一般,,4:24.84,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
村井和果,薫英女学院高大　阪,女子,高校生,,4:24.92,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
大谷菜南子,資生堂東　京,女子,一般,,4:24.95,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
塚本夕藍,エディオン大　阪,女子,一般,,4:26.61,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
鈴木美海,筑波大東　京,女子,一般,,4:26.83,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
長谷川麻央,京都教育大京　都,女子,一般,,4:27.33,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
田中那奈,しまむら群　馬,女子,一般,,4:27.65,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
瀬木彩花,名城大岐  阜,女子,一般,,4:28.15,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
尾方唯莉,京セラ熊　本,女子,一般,,4:28.67,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
鷲見梓沙,ユニバーサル千　葉,女子,一般,,4:30.66,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
保坂野恋花,埼玉医科大学G埼　玉,女子,一般,,4:32.59,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
木下紗那,中央大埼　玉,女子,中学生,,4:34.70,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
宮崎彩湖,順天堂大和歌山,女子,一般,,4:36.49,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
窪美咲,愛媛銀行愛　媛,女子,一般,,4:37.55,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
倉岡奈々,鹿児島銀行鹿児島,女子,一般,,4:38.42,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel026.html",,,,,
田中希実,New Balance兵　庫,女子,一般,,4:11.31,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
井手彩乃,資生堂東　京,女子,一般,,4:14.96,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
森智香子,積水化学千　葉,女子,一般,,4:16.83,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
樫原沙紀,エディオン広　島,女子,一般,,4:17.71,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
道下美槻,積水化学東　京,女子,一般,,4:18.22,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
田村紀薫,日立茨　城,女子,一般,,4:20.32,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
出水田眞紀,第一生命グループ東　京,女子,一般,,4:21.01,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
後藤夢,ユニクロ東　京,女子,一般,,4:23.39,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
小山愛結,岩谷産業大　阪,女子,一般,,4:26.07,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
鈴木葵,ニトリ埼　玉,女子,一般,,4:28.11,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
康本花梨,メモリード長　崎,女子,一般,,4:31.21,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
北村凜,岩谷産業大　阪,女子,一般,,4:49.71,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel027.html",,,,,
鈴木杏奈,しまむら埼　玉,女子,一般,,,,15:47.80,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel032.html",,,
